equipment_type,part_category,lead_time,lead_time_variability,supplier_count,supplier_reliability,supplier_dependency,stock_level,safety_stock,reorder_point,demand_rate,demand_variability,failure_rate,MTBF,MTTR,equipment_criticality,part_criticality,transport_delay,customs_delay,historical_stockouts,historical_downtime,riesgo_stockout,downtime_esperado_horas
Scooptram (LHD),Hidráulica de Alta Presión,91.6,29.5,2,0.769,0.871,4,2,7,2.34,1.06,0.0185,1294.4,16.6,2,3,1.6,0.5,2,30.4,0,0.1
Shovel / Pala,Ventilación y Flujo de Aire,168.6,35.4,1,0.728,1.0,7,1,8,1.86,0.8,0.0392,612.3,21.2,3,3,0.2,5.3,0,0.0,1,83.9
Ventilador Axial Principal,Transmisión y Tren de Potencia,86.8,16.1,3,0.923,0.827,2,3,6,1.56,0.4,0.0428,560.3,20.8,3,2,7.0,6.7,0,0.0,0,13.3
Scooptram (LHD),Hidráulica de Alta Presión,97.3,12.2,3,0.903,0.769,4,0,5,1.99,0.4,0.0589,407.2,13.2,2,3,1.9,9.4,1,47.0,0,4.9
Faja Transportadora,Transmisión y Tren de Potencia,153.2,28.2,1,0.715,1.0,3,1,3,0.46,0.11,0.0212,1132.4,21.3,3,2,5.1,2.7,0,0.0,1,73.1
Scooptram (LHD),Hidráulica de Alta Presión,76.8,9.0,1,0.742,1.0,2,2,4,1.38,0.32,0.0581,413.3,22.5,2,3,0.0,6.4,0,0.0,0,7.9
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,112.7,33.9,1,0.675,1.0,4,1,5,1.7,0.51,0.0573,418.7,23.3,3,3,8.1,10.9,0,0.0,0,2.3
Faja Transportadora,Hidráulica de Alta Presión,58.1,17.5,3,0.917,0.895,2,3,3,0.2,0.06,0.0119,1800.0,19.9,3,3,1.8,8.2,3,91.8,0,5.8
Scooptram (LHD),Transmisión y Tren de Potencia,75.2,15.4,2,0.961,0.565,2,1,2,0.3,0.05,0.0208,1153.1,22.4,2,2,14.8,3.2,1,57.1,0,2.0
Scooptram (LHD),Hidráulica de Alta Presión,125.7,20.7,1,0.789,1.0,6,0,7,2.28,0.81,0.0242,990.5,20.3,2,3,5.5,8.6,1,72.0,1,54.3
Scooptram (LHD),Desagüe y Bombeo de Relaves,77.8,10.1,2,0.65,0.805,0,1,1,0.24,0.05,0.022,1090.0,19.6,2,3,0.7,0.9,0,0.0,0,2.0
Jumbo de Perforación,Transmisión y Tren de Potencia,90.9,28.4,2,0.93,0.617,4,1,4,1.22,0.57,0.0132,1800.0,6.7,2,2,15.8,7.7,3,57.4,0,3.5
Scooptram (LHD),Electrónica y Control ECM,130.7,41.7,1,0.65,1.0,2,2,3,0.3,0.13,0.0289,831.3,14.7,2,3,2.4,16.8,0,0.0,0,8.0
Bomba de Desagüe Multietapa,Electrónica y Control ECM,89.8,15.0,2,0.865,0.884,3,2,5,1.25,0.2,0.0199,1208.7,14.6,3,3,7.0,14.3,1,51.2,0,12.9
Scooptram (LHD),Transmisión y Tren de Potencia,146.7,37.5,1,0.905,1.0,8,2,7,1.32,0.47,0.0262,915.5,13.8,2,2,0.8,0.9,3,76.5,0,0.9
Ventilador Axial Principal,Hidráulica de Alta Presión,118.6,19.5,2,0.93,0.876,5,0,7,2.65,0.96,0.0374,640.9,12.6,3,3,0.6,5.0,2,121.6,1,72.4
Faja Transportadora,Ventilación y Flujo de Aire,128.1,20.0,1,0.884,1.0,5,3,8,1.51,0.56,0.0405,593.3,18.7,3,3,3.2,9.1,3,115.0,0,10.2
Perforadora Long Hole,Hidráulica de Alta Presión,169.8,17.9,2,0.955,0.778,9,0,9,2.2,0.77,0.0085,1800.0,15.4,2,3,0.7,1.8,1,48.3,1,54.0
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,123.0,30.1,1,0.665,1.0,8,1,10,3.12,0.7,0.09,266.7,20.4,3,3,2.3,6.2,1,33.8,1,63.6
Jumbo de Perforación,Ventilación y Flujo de Aire,188.5,25.9,1,0.844,1.0,5,1,6,1.24,0.47,0.0111,1800.0,13.0,2,3,12.2,13.9,2,30.5,0,2.2
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,151.3,15.6,1,0.676,1.0,3,1,2,0.29,0.13,0.0284,846.2,16.1,3,3,14.0,2.1,1,35.6,0,1.2
Ventilador Axial Principal,Transmisión y Tren de Potencia,91.6,11.6,2,0.748,0.595,5,3,6,1.27,0.32,0.03,799.8,19.7,3,2,0.0,3.7,1,26.5,0,21.6
Jumbo de Perforación,Transmisión y Tren de Potencia,173.0,30.9,1,0.75,1.0,3,2,3,0.2,0.1,0.0052,1800.0,20.0,2,2,0.3,4.2,2,49.6,1,60.0
Scooptram (LHD),Transmisión y Tren de Potencia,120.6,32.2,2,0.917,0.682,2,2,4,0.82,0.19,0.0445,539.0,13.5,2,2,0.9,15.4,0,0.0,0,11.7
Compresor Estacionario,Ventilación y Flujo de Aire,95.8,14.4,1,0.857,1.0,5,1,6,2.22,1.11,0.0151,1593.0,8.5,1,3,1.3,4.2,3,132.5,0,2.1
Jumbo de Perforación,Electrónica y Control ECM,121.3,39.0,2,0.969,0.91,1,1,2,0.28,0.08,0.028,856.0,12.7,2,3,13.6,11.9,2,99.7,0,4.3
Scooptram (LHD),Electrónica y Control ECM,162.4,27.9,2,0.833,0.677,6,3,5,0.43,0.13,0.035,685.9,26.7,2,3,5.0,8.5,2,45.5,0,0.4
Jumbo de Perforación,Ventilación y Flujo de Aire,129.0,23.6,1,0.892,1.0,4,0,5,1.59,0.75,0.037,648.6,13.4,2,3,2.7,13.1,0,0.0,0,4.2
Jumbo de Perforación,Transmisión y Tren de Potencia,208.2,32.2,1,0.829,1.0,3,1,4,0.63,0.17,0.0376,637.8,17.8,2,2,7.7,0.6,0,0.0,1,60.3
Perforadora Long Hole,Transmisión y Tren de Potencia,160.9,26.3,1,0.754,1.0,2,0,1,0.2,0.07,0.0192,1246.8,23.4,2,2,2.4,2.0,1,62.8,0,2.5
Shovel / Pala,Transmisión y Tren de Potencia,132.1,15.7,2,0.927,0.755,6,0,5,1.51,0.31,0.0348,689.4,19.5,3,2,12.1,8.7,0,0.0,0,2.9
Shovel / Pala,Transmisión y Tren de Potencia,76.8,13.3,2,0.781,0.836,3,3,7,2.25,0.72,0.0265,905.5,26.1,3,2,6.3,32.3,1,45.0,0,2.6
Scooptram (LHD),Perforación y Rotación,103.3,32.5,1,0.675,1.0,10,3,8,2.28,0.42,0.0322,744.3,16.6,2,2,8.4,13.7,2,55.7,0,9.7
Jumbo de Perforación,Desagüe y Bombeo de Relaves,112.8,30.7,2,0.873,0.84,11,3,9,2.23,0.83,0.09,266.7,22.7,2,3,1.1,6.9,1,52.0,1,49.6
Ventilador Axial Principal,Hidráulica de Alta Presión,140.4,44.8,1,0.85,1.0,2,0,4,1.24,0.56,0.0116,1800.0,9.5,3,3,3.1,9.9,1,42.1,1,73.2
Scooptram (LHD),Hidráulica de Alta Presión,137.5,17.4,1,0.65,1.0,5,2,15,4.16,1.2,0.0535,448.8,12.9,2,3,4.3,1.1,1,54.4,1,59.5
Jumbo de Perforación,Hidráulica de Alta Presión,116.7,25.0,2,0.843,0.78,7,2,7,1.9,0.58,0.0481,498.5,17.4,2,3,10.0,1.1,4,107.4,0,0.9
Shovel / Pala,Hidráulica de Alta Presión,114.7,18.0,1,0.79,1.0,1,0,4,1.33,0.43,0.0305,787.9,31.3,3,3,1.7,15.9,2,53.8,1,91.8
Scooptram (LHD),Hidráulica de Alta Presión,141.5,39.7,2,0.65,0.873,5,0,5,1.52,0.55,0.0286,838.4,15.0,2,3,4.6,1.9,0,0.0,0,2.4
Ventilador Axial Principal,Electrónica y Control ECM,81.4,27.9,3,0.838,0.674,1,0,3,1.76,0.36,0.0414,580.3,27.5,3,3,1.9,0.6,2,80.6,0,2.7
Scooptram (LHD),Desagüe y Bombeo de Relaves,199.1,60.5,1,0.934,1.0,6,3,5,0.5,0.08,0.023,1042.7,22.1,2,3,10.7,4.1,1,26.0,0,1.8
Scooptram (LHD),Ventilación y Flujo de Aire,53.7,5.8,2,0.849,0.77,6,0,7,5.46,1.32,0.0192,1250.9,17.7,2,3,10.7,13.6,0,0.0,0,2.9
Scooptram (LHD),Hidráulica de Alta Presión,183.1,32.8,3,0.901,0.779,6,1,13,2.74,0.9,0.0419,572.7,17.8,2,3,5.1,15.9,1,70.5,1,76.8
Faja Transportadora,Transmisión y Tren de Potencia,108.3,11.6,1,0.735,1.0,2,2,3,0.38,0.14,0.0221,1087.6,26.9,3,2,1.8,1.2,1,42.5,1,51.4
Perforadora Long Hole,Electrónica y Control ECM,156.2,17.2,1,0.678,1.0,8,3,10,2.04,0.47,0.0696,344.7,13.0,2,3,7.7,4.8,1,55.7,1,54.4
Faja Transportadora,Desagüe y Bombeo de Relaves,124.9,15.0,1,0.811,1.0,3,1,8,2.38,0.52,0.0478,502.1,22.8,3,3,16.5,4.4,2,91.8,1,79.8
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,124.2,21.0,2,0.896,0.563,5,2,4,0.67,0.28,0.0462,519.5,13.6,3,3,0.2,4.7,2,72.4,0,20.5
Scooptram (LHD),Perforación y Rotación,133.5,23.5,2,0.959,0.882,2,0,4,1.34,0.21,0.0185,1295.2,14.6,2,2,2.1,24.1,2,39.9,0,12.0
Ventilador Axial Principal,Electrónica y Control ECM,146.0,29.2,2,0.945,0.816,3,2,6,1.09,0.48,0.005,1800.0,22.2,3,3,34.2,10.2,1,66.5,0,3.0
Ventilador Axial Principal,Ventilación y Flujo de Aire,98.0,19.7,2,0.946,0.578,6,1,9,3.4,0.86,0.0443,542.0,15.9,3,3,8.3,0.6,3,96.5,0,8.1
Perforadora Long Hole,Hidráulica de Alta Presión,158.0,46.3,2,0.967,0.766,3,1,6,1.39,0.69,0.0401,598.4,18.5,2,3,4.4,0.7,1,20.3,0,14.3
Scooptram (LHD),Electrónica y Control ECM,75.3,10.2,1,0.833,1.0,2,3,7,2.52,0.45,0.0303,793.0,9.8,2,3,9.3,10.0,0,0.0,0,3.0
Ventilador Axial Principal,Hidráulica de Alta Presión,109.8,15.3,3,0.835,0.583,0,0,3,1.11,0.29,0.014,1711.5,16.8,3,3,1.4,3.5,1,53.6,1,47.8
Scooptram (LHD),Transmisión y Tren de Potencia,147.4,37.8,1,0.809,1.0,3,2,6,1.21,0.26,0.0684,351.0,18.8,2,2,0.0,1.7,3,75.3,1,50.8
Jumbo de Perforación,Electrónica y Control ECM,155.8,37.9,1,0.794,1.0,2,3,6,0.87,0.39,0.0396,606.1,26.0,2,3,1.2,0.1,0,0.0,0,7.1
Shovel / Pala,Hidráulica de Alta Presión,129.3,17.9,3,0.716,0.725,3,1,6,1.66,0.61,0.0517,464.4,12.2,3,3,3.2,7.8,1,21.8,1,74.2
Ventilador Axial Principal,Hidráulica de Alta Presión,95.9,30.0,2,0.953,0.756,3,2,3,0.33,0.08,0.0252,951.3,25.0,3,3,1.0,1.8,4,86.0,0,3.0
Jumbo de Perforación,Hidráulica de Alta Presión,150.6,27.4,2,0.94,0.718,5,1,11,2.8,1.31,0.0378,635.7,15.8,2,3,0.1,9.9,1,50.9,1,52.0
Jumbo de Perforación,Hidráulica de Alta Presión,87.0,16.7,1,0.748,1.0,2,1,3,0.83,0.22,0.0368,652.5,18.7,2,3,5.6,0.0,0,0.0,0,2.7
Ventilador Axial Principal,Hidráulica de Alta Presión,203.1,41.6,2,0.739,0.837,5,2,18,3.28,0.89,0.0206,1165.4,14.1,3,3,3.4,1.8,0,0.0,1,79.5
Shovel / Pala,Hidráulica de Alta Presión,106.8,19.3,2,0.66,0.572,1,1,2,0.52,0.14,0.0409,586.5,11.7,3,3,9.3,1.5,0,0.0,0,9.8
Compresor Estacionario,Hidráulica de Alta Presión,64.2,15.4,2,0.963,0.706,4,2,7,3.41,1.47,0.09,266.7,25.4,1,3,2.7,4.6,1,45.6,0,7.5
Faja Transportadora,Hidráulica de Alta Presión,72.4,14.3,3,0.712,0.604,3,0,5,3.19,1.01,0.0214,1122.7,17.1,3,3,1.1,12.1,0,0.0,0,5.4
Shovel / Pala,Perforación y Rotación,111.7,18.4,1,0.814,1.0,8,0,10,4.02,1.67,0.0725,331.2,23.7,3,2,4.6,2.6,1,32.2,1,47.1
Jumbo de Perforación,Transmisión y Tren de Potencia,115.5,37.7,2,0.947,0.799,3,2,9,2.42,0.65,0.0208,1154.5,14.2,2,2,2.5,10.8,1,15.3,0,3.9
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,219.2,38.8,2,0.895,0.852,5,1,14,2.61,0.93,0.0391,613.5,27.8,3,3,2.0,7.3,0,0.0,1,109.3
Jumbo de Perforación,Electrónica y Control ECM,76.5,21.0,1,0.779,1.0,8,1,8,3.98,0.85,0.0859,279.4,21.2,2,3,9.9,6.2,1,37.2,0,8.6
Jumbo de Perforación,Desagüe y Bombeo de Relaves,111.5,20.8,1,0.65,1.0,7,1,9,3.09,0.78,0.051,470.2,11.3,2,3,6.6,6.5,2,133.1,1,51.5
Perforadora Long Hole,Ventilación y Flujo de Aire,75.9,15.9,1,0.748,1.0,3,1,4,1.53,0.68,0.0474,506.3,22.0,2,3,7.4,17.4,1,60.3,0,1.3
Scooptram (LHD),Transmisión y Tren de Potencia,92.6,14.7,2,0.816,0.865,7,3,6,1.53,0.28,0.0254,945.6,17.1,2,2,8.6,11.4,1,53.8,0,4.6
Compresor Estacionario,Electrónica y Control ECM,198.3,57.1,1,0.844,1.0,4,2,5,0.66,0.25,0.067,358.3,15.8,1,3,1.0,2.5,0,0.0,1,49.0
Ventilador Axial Principal,Ventilación y Flujo de Aire,73.9,21.0,1,0.925,1.0,3,3,5,1.24,0.49,0.0151,1592.7,9.1,3,3,0.2,4.5,1,16.6,0,9.0
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,135.1,14.3,1,0.65,1.0,4,2,16,4.44,1.54,0.0317,756.3,12.6,3,3,8.6,1.9,1,42.9,1,72.9
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,126.2,14.5,1,0.88,1.0,3,2,5,1.13,0.24,0.053,453.0,24.0,3,3,3.8,1.0,5,225.3,0,1.4
Compresor Estacionario,Desagüe y Bombeo de Relaves,109.1,36.1,1,0.65,1.0,9,3,9,2.37,0.85,0.0197,1216.3,16.7,1,3,6.4,10.5,2,66.1,0,5.2
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,131.9,42.5,1,0.65,1.0,8,3,10,2.42,0.5,0.0226,1059.5,18.2,3,3,10.7,10.5,3,182.3,0,2.9
Bomba de Desagüe Multietapa,Electrónica y Control ECM,73.3,16.6,3,0.857,0.763,0,0,1,0.56,0.19,0.0313,765.7,8.5,3,3,3.1,9.0,2,93.7,1,56.6
Scooptram (LHD),Transmisión y Tren de Potencia,196.4,43.9,1,0.65,1.0,9,3,25,4.85,1.67,0.09,266.7,19.6,2,2,5.9,9.0,2,99.9,1,75.7
Ventilador Axial Principal,Electrónica y Control ECM,215.8,65.4,2,0.846,0.618,1,1,2,0.28,0.07,0.0317,756.9,13.7,3,3,0.3,24.9,1,56.2,1,128.7
Scooptram (LHD),Desagüe y Bombeo de Relaves,111.8,15.1,2,0.845,0.695,5,2,4,0.91,0.23,0.0445,539.7,27.6,2,3,6.5,13.6,2,89.0,0,8.6
Shovel / Pala,Hidráulica de Alta Presión,256.9,67.7,2,0.829,0.662,1,0,1,0.23,0.08,0.0101,1800.0,22.6,3,3,1.6,7.1,7,118.0,1,119.0
Ventilador Axial Principal,Perforación y Rotación,95.7,20.9,1,0.763,1.0,2,2,8,2.89,0.93,0.09,266.7,16.3,3,2,5.0,0.5,0,0.0,1,50.3
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,126.5,36.2,3,0.969,0.821,5,0,8,2.71,0.49,0.0345,695.0,23.2,3,3,0.9,0.0,0,0.0,1,78.8
Scooptram (LHD),Transmisión y Tren de Potencia,181.6,19.5,1,0.803,1.0,1,1,3,0.46,0.15,0.0225,1066.4,18.9,2,2,0.5,12.2,2,96.9,0,4.0
Scooptram (LHD),Desagüe y Bombeo de Relaves,93.7,23.2,1,0.719,1.0,3,2,7,2.25,0.92,0.024,1000.7,13.6,2,3,3.8,2.4,1,34.0,0,10.4
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,67.8,16.2,1,0.884,1.0,6,1,5,2.5,0.58,0.0277,864.9,15.5,3,3,1.8,19.6,0,0.0,0,1.3
Scooptram (LHD),Transmisión y Tren de Potencia,62.6,19.4,1,0.924,1.0,4,2,4,1.44,0.33,0.0256,937.8,21.1,2,2,0.7,5.3,3,181.4,0,2.0
Scooptram (LHD),Hidráulica de Alta Presión,226.3,60.9,1,0.746,1.0,4,2,11,1.75,0.67,0.0539,445.2,14.4,2,3,8.1,1.5,0,0.0,1,75.5
Scooptram (LHD),Transmisión y Tren de Potencia,91.4,29.3,2,0.829,0.618,7,1,5,1.8,0.38,0.0797,301.1,17.1,2,2,5.8,7.3,2,110.1,0,3.3
Faja Transportadora,Hidráulica de Alta Presión,103.1,33.2,1,0.675,1.0,2,1,2,0.49,0.24,0.0293,820.3,8.2,3,3,1.9,0.1,1,54.5,1,51.3
Shovel / Pala,Transmisión y Tren de Potencia,74.5,15.1,2,0.921,0.847,5,0,5,2.6,0.6,0.0254,945.4,16.0,3,2,3.2,0.2,0,0.0,0,15.0
Jumbo de Perforación,Transmisión y Tren de Potencia,153.3,20.6,3,0.933,0.723,6,3,8,1.28,0.41,0.0159,1512.5,12.5,2,2,6.2,5.8,1,28.7,0,0.1
Jumbo de Perforación,Perforación y Rotación,83.7,21.6,1,0.854,1.0,4,2,6,2.25,0.56,0.0202,1189.8,26.1,2,2,7.8,10.7,1,24.9,0,0.3
Jumbo de Perforación,Perforación y Rotación,92.6,29.5,1,0.916,1.0,3,1,5,2.06,0.63,0.005,1800.0,13.5,2,2,5.4,0.5,1,49.4,0,5.7
Shovel / Pala,Hidráulica de Alta Presión,122.2,14.5,2,0.789,0.689,5,2,7,1.69,0.67,0.0678,354.2,20.8,3,3,2.9,0.1,0,0.0,1,64.3
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,75.8,18.2,2,0.962,0.76,2,1,6,2.68,0.51,0.032,749.1,15.2,3,3,2.2,5.1,2,49.7,0,2.2
Scooptram (LHD),Hidráulica de Alta Presión,103.3,13.3,1,0.946,1.0,3,1,4,1.31,0.51,0.0372,644.7,24.8,2,3,6.3,1.8,0,0.0,0,3.0
Scooptram (LHD),Hidráulica de Alta Presión,179.7,19.2,2,0.785,0.837,4,2,7,1.16,0.48,0.0108,1800.0,10.6,2,3,2.4,7.4,5,349.8,1,75.7
Scooptram (LHD),Hidráulica de Alta Presión,127.8,34.5,3,0.877,0.565,1,2,4,0.65,0.27,0.0442,542.8,17.5,2,3,1.6,0.3,3,67.0,0,5.2
Bomba de Desagüe Multietapa,Perforación y Rotación,115.1,31.1,2,0.951,0.79,3,0,5,1.77,0.62,0.066,363.7,13.8,3,2,0.9,3.9,0,0.0,1,50.4
Shovel / Pala,Perforación y Rotación,118.6,29.7,1,0.65,1.0,1,0,2,0.69,0.32,0.0386,621.7,23.0,3,2,8.3,8.5,0,0.0,1,84.2
Jumbo de Perforación,Hidráulica de Alta Presión,96.0,30.2,1,0.732,1.0,5,2,5,1.35,0.36,0.0274,874.6,16.9,2,3,10.8,11.5,2,104.1,0,2.2
Scooptram (LHD),Hidráulica de Alta Presión,221.2,26.6,2,0.937,0.615,6,2,9,1.34,0.58,0.0143,1672.7,22.3,2,3,11.3,1.3,0,0.0,0,7.7
Scooptram (LHD),Hidráulica de Alta Presión,82.8,10.5,1,0.682,1.0,3,1,5,2.23,0.88,0.054,444.3,4.0,2,3,5.5,6.1,2,105.9,1,38.1
Faja Transportadora,Electrónica y Control ECM,118.4,37.4,1,0.894,1.0,3,0,3,0.98,0.26,0.0715,335.8,12.8,3,3,0.2,0.5,2,126.5,1,48.2
Jumbo de Perforación,Electrónica y Control ECM,114.5,25.9,1,0.795,1.0,0,0,1,0.5,0.11,0.0403,595.0,25.6,2,3,0.9,7.4,3,79.4,1,44.0
Shovel / Pala,Hidráulica de Alta Presión,156.6,26.3,1,0.738,1.0,9,1,10,2.33,1.09,0.0189,1270.3,26.3,3,3,0.3,1.7,3,133.9,0,10.7
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,161.8,46.0,1,0.912,1.0,5,0,13,3.41,1.67,0.0367,653.1,11.9,3,3,1.0,5.7,1,42.5,1,84.0
Jumbo de Perforación,Transmisión y Tren de Potencia,108.8,35.2,3,0.777,0.77,3,1,3,0.73,0.34,0.0378,634.1,19.4,2,2,3.1,9.9,2,94.0,0,0.3
Scooptram (LHD),Perforación y Rotación,121.8,33.2,3,0.874,0.895,6,1,12,3.96,1.29,0.0507,472.9,20.1,2,2,9.5,7.6,1,36.6,1,73.6
Scooptram (LHD),Ventilación y Flujo de Aire,123.4,36.8,2,0.848,0.641,10,0,7,2.48,0.61,0.0246,973.9,9.3,2,3,6.1,25.4,3,46.0,0,1.0
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,49.7,8.5,1,0.877,1.0,1,1,1,0.22,0.07,0.0243,988.3,12.1,3,2,0.1,15.6,3,61.2,0,2.4
Shovel / Pala,Desagüe y Bombeo de Relaves,63.1,10.9,1,0.805,1.0,0,1,1,0.2,0.05,0.0196,1226.2,10.7,3,3,1.8,6.2,3,197.6,0,9.0
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,89.0,28.1,2,0.898,0.754,3,0,4,1.89,0.8,0.0429,560.0,20.4,3,3,3.9,3.4,2,95.3,1,52.9
Ventilador Axial Principal,Transmisión y Tren de Potencia,90.4,22.9,2,0.936,0.71,4,1,6,2.46,1.16,0.0455,527.5,23.1,3,2,3.0,5.1,1,52.7,0,12.5
Scooptram (LHD),Transmisión y Tren de Potencia,72.3,11.5,2,0.921,0.909,7,2,4,1.45,0.54,0.0225,1067.1,15.8,2,2,0.2,1.2,3,111.0,0,7.7
Faja Transportadora,Perforación y Rotación,143.0,33.0,1,0.853,1.0,7,1,6,1.36,0.42,0.0336,714.1,25.8,3,2,1.4,40.9,0,0.0,0,1.3
Shovel / Pala,Hidráulica de Alta Presión,110.1,29.9,2,0.842,0.756,7,1,6,1.82,0.57,0.0656,365.9,15.7,3,3,0.3,3.7,0,0.0,0,6.0
Jumbo de Perforación,Hidráulica de Alta Presión,102.0,15.8,3,0.92,0.572,3,1,6,2.16,1.0,0.0511,469.4,21.0,2,3,1.5,3.1,3,151.8,1,32.1
Faja Transportadora,Transmisión y Tren de Potencia,70.9,18.7,1,0.652,1.0,5,0,5,2.83,0.84,0.0559,429.5,20.0,3,2,4.2,3.1,1,15.0,1,50.6
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,108.3,12.0,1,0.68,1.0,3,0,3,1.27,0.2,0.0159,1509.3,14.9,3,3,3.1,7.6,1,56.0,1,71.4
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,43.9,7.7,2,0.952,0.889,0,0,2,2.4,0.85,0.0408,587.9,17.7,3,3,1.2,3.2,0,0.0,1,28.1
Shovel / Pala,Perforación y Rotación,103.9,27.9,2,0.847,0.854,4,1,5,1.62,0.66,0.0487,492.4,9.6,3,2,6.9,13.7,0,0.0,0,0.9
Perforadora Long Hole,Electrónica y Control ECM,112.5,15.4,1,0.909,1.0,1,0,1,0.44,0.16,0.0327,733.9,21.5,2,3,4.6,2.2,2,68.2,1,52.9
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,119.7,18.6,3,0.967,0.736,8,2,7,1.71,0.31,0.0708,338.8,12.1,3,3,9.9,1.9,3,131.9,1,58.9
Scooptram (LHD),Electrónica y Control ECM,63.6,20.3,1,0.88,1.0,2,1,8,4.39,0.92,0.0263,914.0,29.0,2,3,0.7,4.4,3,75.0,0,5.6
Jumbo de Perforación,Desagüe y Bombeo de Relaves,119.0,32.0,2,0.849,0.551,6,1,12,3.86,0.62,0.0584,411.1,27.7,2,3,3.5,1.7,1,46.2,1,35.8
Compresor Estacionario,Hidráulica de Alta Presión,76.4,17.2,1,0.685,1.0,4,2,7,2.55,1.25,0.0244,981.7,8.0,1,3,2.5,19.3,0,0.0,0,9.7
Scooptram (LHD),Hidráulica de Alta Presión,82.8,12.6,1,0.88,1.0,5,1,6,2.78,1.16,0.0349,687.8,14.7,2,3,0.0,0.8,3,92.5,0,3.3
Jumbo de Perforación,Hidráulica de Alta Presión,141.4,26.2,2,0.97,0.73,8,0,5,1.57,0.53,0.0588,408.4,20.9,2,3,1.5,1.0,1,71.4,1,59.5
Jumbo de Perforación,Electrónica y Control ECM,222.6,54.2,3,0.831,0.836,7,1,8,1.39,0.39,0.0343,700.6,16.3,2,3,1.0,0.2,3,169.4,1,80.7
Jumbo de Perforación,Perforación y Rotación,112.0,15.5,3,0.942,0.728,5,1,10,3.42,1.04,0.0369,649.9,16.6,2,2,11.3,11.4,2,48.5,0,0.2
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,82.6,18.2,1,0.845,1.0,4,1,3,1.29,0.49,0.0126,1800.0,20.1,3,3,3.1,5.3,1,41.0,0,5.5
Faja Transportadora,Perforación y Rotación,117.5,23.8,2,0.937,0.722,3,3,4,0.54,0.13,0.0414,579.9,18.1,3,2,2.4,2.6,1,54.2,0,8.7
Scooptram (LHD),Hidráulica de Alta Presión,152.8,33.5,1,0.675,1.0,4,2,5,0.76,0.29,0.0483,496.8,24.7,2,3,3.2,2.0,0,0.0,0,4.0
Scooptram (LHD),Perforación y Rotación,136.7,17.3,1,0.844,1.0,4,1,9,2.66,0.49,0.0423,567.3,15.3,2,2,15.4,5.3,2,45.6,1,70.4
Scooptram (LHD),Desagüe y Bombeo de Relaves,270.0,34.2,1,0.889,1.0,1,0,1,0.2,0.1,0.005,1800.0,22.5,2,3,6.0,15.8,1,42.0,1,102.6
Compresor Estacionario,Transmisión y Tren de Potencia,85.6,29.2,1,0.736,1.0,1,2,4,1.15,0.35,0.0763,314.4,11.2,1,2,10.7,0.2,1,63.4,0,4.6
Bomba de Desagüe Multietapa,Perforación y Rotación,120.2,41.4,3,0.927,0.858,7,1,5,1.32,0.41,0.0234,1025.3,16.7,3,2,0.3,10.2,3,80.3,0,4.5
Jumbo de Perforación,Transmisión y Tren de Potencia,189.2,39.1,1,0.681,1.0,3,2,9,1.52,0.68,0.0316,759.4,17.3,2,2,10.4,2.5,0,0.0,1,71.3
Perforadora Long Hole,Perforación y Rotación,185.1,55.0,2,0.915,0.852,6,0,7,1.72,0.71,0.0304,788.5,20.0,2,2,9.0,3.3,3,181.1,1,54.5
Perforadora Long Hole,Perforación y Rotación,55.6,14.7,2,0.966,0.601,4,3,3,0.2,0.1,0.0099,1800.0,25.8,2,2,3.7,7.9,0,0.0,0,2.6
Perforadora Long Hole,Desagüe y Bombeo de Relaves,109.9,14.2,1,0.691,1.0,4,0,6,2.35,0.65,0.0593,404.4,11.8,2,3,3.0,9.2,2,99.9,1,41.0
Compresor Estacionario,Electrónica y Control ECM,184.9,32.2,3,0.919,0.598,4,1,3,0.48,0.18,0.053,452.6,5.9,1,3,10.9,8.0,1,68.9,0,0.8
Jumbo de Perforación,Hidráulica de Alta Presión,270.0,48.2,1,0.681,1.0,8,3,12,1.46,0.35,0.0463,517.9,14.1,2,3,0.5,18.8,1,39.9,1,89.0
Shovel / Pala,Electrónica y Control ECM,140.7,35.0,3,0.949,0.83,4,0,5,1.47,0.23,0.0319,752.0,18.6,3,3,7.4,30.0,1,17.8,1,107.8
Ventilador Axial Principal,Transmisión y Tren de Potencia,96.7,23.7,3,0.879,0.912,3,2,8,2.47,0.94,0.0462,520.0,16.8,3,2,10.4,0.4,0,0.0,1,76.4
