MINE_ID,SUBUNIT,EQUIPMENT_TYPE,FAILURE_CAUSE,LOST_HOURS,PARTS_WAIT_HOURS,INSPECTION_YEAR
TITAN-01,Pump Station,Haulage LHD,Bearing Seizure,9.2,17.9,2023
ANDINA-02,Shaft / Hoistway,Mine Fan,Hydraulic Burst,46.1,70.5,2024
ANDINA-02,Drift / Ramp,Mine Fan,Power Transmission Failure,46.6,96.8,2023
TITAN-01,Stope Production Face,Continuous Haulage,Electrical Fault,12.3,35.2,2025
TITAN-01,Underground Haulageway,Continuous Haulage,Bearing Seizure,53.9,239.7,2025
ANDINA-02,Shaft / Hoistway,Slurry Pump,Hydraulic Burst,39.5,0.6,2024
SUR-03,Stope Production Face,Drill Jumbo,Bearing Seizure,17.0,17.1,2023
ANDINA-02,Stope Production Face,Continuous Haulage,Power Transmission Failure,37.1,46.8,2025
TITAN-01,Shaft / Hoistway,Mine Fan,Power Transmission Failure,82.1,30.4,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Hydraulic Burst,18.7,6.0,2024
TITAN-01,Underground Haulageway,Haulage LHD,Bearing Seizure,10.5,22.0,2024
ANDINA-02,Pump Station,Drill Jumbo,Electrical Fault,72.3,1.2,2025
SUR-03,Drift / Ramp,Slurry Pump,Electrical Fault,26.2,49.4,2024
ANDINA-02,Shaft / Hoistway,Haulage LHD,Bearing Seizure,6.7,107.2,2025
ANDINA-02,Shaft / Hoistway,Haulage LHD,Bearing Seizure,24.4,103.8,2025
TITAN-01,Shaft / Hoistway,Drill Jumbo,Bearing Seizure,20.7,57.7,2024
TITAN-01,Underground Haulageway,Slurry Pump,Hydraulic Burst,50.4,30.1,2024
TITAN-01,Drift / Ramp,Mine Fan,Power Transmission Failure,22.2,34.4,2023
ANDINA-02,Pump Station,Slurry Pump,Electrical Fault,11.1,7.1,2023
SUR-03,Stope Production Face,Continuous Haulage,Hydraulic Burst,31.0,20.0,2025
TITAN-01,Stope Production Face,Haulage LHD,Bearing Seizure,22.8,10.0,2023
TITAN-01,Shaft / Hoistway,Continuous Haulage,Bearing Seizure,10.4,82.6,2025
ANDINA-02,Drift / Ramp,Mine Fan,Power Transmission Failure,24.5,118.2,2024
TITAN-01,Underground Haulageway,Continuous Haulage,Bearing Seizure,45.4,37.0,2024
SUR-03,Drift / Ramp,Slurry Pump,Hydraulic Burst,4.7,62.5,2023
SUR-03,Drift / Ramp,Continuous Haulage,Hydraulic Burst,27.9,6.2,2025
TITAN-01,Underground Haulageway,Mine Fan,Power Transmission Failure,14.3,45.0,2025
TITAN-01,Shaft / Hoistway,Mine Fan,Hydraulic Burst,12.3,58.2,2023
ANDINA-02,Drift / Ramp,Mine Fan,Electrical Fault,16.0,28.9,2025
SUR-03,Stope Production Face,Slurry Pump,Hydraulic Burst,14.0,13.4,2025
SUR-03,Underground Haulageway,Mine Fan,Hydraulic Burst,46.8,100.7,2024
TITAN-01,Pump Station,Haulage LHD,Hydraulic Burst,11.7,65.2,2025
ANDINA-02,Shaft / Hoistway,Mine Fan,Electrical Fault,35.7,110.5,2025
SUR-03,Underground Haulageway,Continuous Haulage,Bearing Seizure,6.4,81.9,2025
SUR-03,Pump Station,Continuous Haulage,Hydraulic Burst,76.6,222.9,2023
ANDINA-02,Pump Station,Continuous Haulage,Power Transmission Failure,27.4,10.2,2023
ANDINA-02,Drift / Ramp,Slurry Pump,Electrical Fault,33.4,4.4,2023
SUR-03,Drift / Ramp,Continuous Haulage,Power Transmission Failure,12.5,19.7,2025
SUR-03,Drift / Ramp,Slurry Pump,Hydraulic Burst,16.7,6.6,2025
ANDINA-02,Underground Haulageway,Slurry Pump,Power Transmission Failure,10.1,35.5,2023
SUR-03,Underground Haulageway,Mine Fan,Hydraulic Burst,68.7,48.1,2023
TITAN-01,Shaft / Hoistway,Haulage LHD,Electrical Fault,20.1,41.4,2025
TITAN-01,Drift / Ramp,Mine Fan,Power Transmission Failure,27.9,14.4,2025
ANDINA-02,Pump Station,Mine Fan,Power Transmission Failure,35.8,115.0,2024
ANDINA-02,Stope Production Face,Slurry Pump,Hydraulic Burst,15.1,1.0,2023
ANDINA-02,Shaft / Hoistway,Slurry Pump,Hydraulic Burst,34.6,20.5,2025
TITAN-01,Underground Haulageway,Continuous Haulage,Bearing Seizure,31.0,60.9,2023
SUR-03,Shaft / Hoistway,Continuous Haulage,Hydraulic Burst,33.4,69.9,2023
TITAN-01,Shaft / Hoistway,Mine Fan,Hydraulic Burst,20.1,25.8,2023
SUR-03,Shaft / Hoistway,Drill Jumbo,Bearing Seizure,15.6,0.8,2024
TITAN-01,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,10.0,46.2,2025
SUR-03,Stope Production Face,Continuous Haulage,Hydraulic Burst,45.8,3.1,2025
TITAN-01,Drift / Ramp,Drill Jumbo,Bearing Seizure,26.5,5.5,2023
ANDINA-02,Pump Station,Continuous Haulage,Electrical Fault,18.1,50.4,2025
TITAN-01,Shaft / Hoistway,Slurry Pump,Electrical Fault,73.2,18.0,2024
SUR-03,Shaft / Hoistway,Mine Fan,Hydraulic Burst,5.2,20.5,2023
TITAN-01,Shaft / Hoistway,Haulage LHD,Hydraulic Burst,49.6,32.0,2024
TITAN-01,Drift / Ramp,Mine Fan,Bearing Seizure,148.6,184.5,2024
TITAN-01,Underground Haulageway,Continuous Haulage,Bearing Seizure,56.3,161.5,2025
ANDINA-02,Underground Haulageway,Continuous Haulage,Electrical Fault,43.9,25.8,2025
TITAN-01,Stope Production Face,Mine Fan,Power Transmission Failure,15.3,14.8,2024
ANDINA-02,Underground Haulageway,Continuous Haulage,Hydraulic Burst,10.3,17.3,2025
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Power Transmission Failure,35.9,15.0,2024
TITAN-01,Shaft / Hoistway,Drill Jumbo,Power Transmission Failure,12.7,36.5,2024
TITAN-01,Shaft / Hoistway,Continuous Haulage,Bearing Seizure,8.6,44.8,2023
TITAN-01,Stope Production Face,Continuous Haulage,Hydraulic Burst,41.1,32.2,2024
SUR-03,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,13.0,25.2,2024
TITAN-01,Underground Haulageway,Continuous Haulage,Bearing Seizure,63.0,11.4,2025
ANDINA-02,Drift / Ramp,Continuous Haulage,Power Transmission Failure,48.1,31.6,2023
TITAN-01,Drift / Ramp,Mine Fan,Bearing Seizure,49.2,20.0,2025
SUR-03,Pump Station,Haulage LHD,Electrical Fault,39.4,37.4,2023
TITAN-01,Underground Haulageway,Drill Jumbo,Hydraulic Burst,55.1,54.0,2025
SUR-03,Shaft / Hoistway,Mine Fan,Electrical Fault,43.3,48.2,2024
SUR-03,Drift / Ramp,Haulage LHD,Bearing Seizure,26.1,29.8,2023
TITAN-01,Underground Haulageway,Continuous Haulage,Hydraulic Burst,12.4,39.0,2023
ANDINA-02,Drift / Ramp,Continuous Haulage,Electrical Fault,56.6,16.1,2023
SUR-03,Shaft / Hoistway,Mine Fan,Electrical Fault,48.1,1.2,2023
TITAN-01,Drift / Ramp,Continuous Haulage,Power Transmission Failure,19.4,47.1,2025
TITAN-01,Pump Station,Slurry Pump,Hydraulic Burst,5.0,14.0,2025
ANDINA-02,Pump Station,Mine Fan,Electrical Fault,28.4,53.1,2023
SUR-03,Drift / Ramp,Haulage LHD,Electrical Fault,5.2,66.0,2023
SUR-03,Underground Haulageway,Mine Fan,Power Transmission Failure,66.6,118.9,2023
TITAN-01,Underground Haulageway,Drill Jumbo,Electrical Fault,82.3,152.3,2025
TITAN-01,Underground Haulageway,Mine Fan,Electrical Fault,9.0,0.5,2023
ANDINA-02,Drift / Ramp,Continuous Haulage,Electrical Fault,31.1,222.9,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Power Transmission Failure,6.3,55.1,2023
SUR-03,Shaft / Hoistway,Slurry Pump,Electrical Fault,35.4,49.5,2025
SUR-03,Pump Station,Slurry Pump,Electrical Fault,14.2,0.7,2024
TITAN-01,Shaft / Hoistway,Slurry Pump,Hydraulic Burst,31.4,94.8,2024
SUR-03,Underground Haulageway,Haulage LHD,Hydraulic Burst,15.2,7.5,2025
ANDINA-02,Shaft / Hoistway,Slurry Pump,Power Transmission Failure,7.8,87.2,2024
ANDINA-02,Underground Haulageway,Haulage LHD,Bearing Seizure,16.5,0.8,2023
TITAN-01,Drift / Ramp,Slurry Pump,Hydraulic Burst,6.9,49.8,2023
ANDINA-02,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,24.6,27.4,2025
ANDINA-02,Drift / Ramp,Mine Fan,Electrical Fault,5.0,10.8,2025
ANDINA-02,Drift / Ramp,Mine Fan,Electrical Fault,22.0,5.5,2024
ANDINA-02,Stope Production Face,Continuous Haulage,Power Transmission Failure,56.2,27.8,2024
TITAN-01,Underground Haulageway,Haulage LHD,Electrical Fault,47.7,6.3,2023
TITAN-01,Pump Station,Drill Jumbo,Electrical Fault,55.4,32.0,2025
SUR-03,Underground Haulageway,Continuous Haulage,Bearing Seizure,65.2,47.1,2024
ANDINA-02,Pump Station,Mine Fan,Electrical Fault,6.6,84.3,2024
SUR-03,Underground Haulageway,Haulage LHD,Hydraulic Burst,7.3,54.5,2023
TITAN-01,Drift / Ramp,Slurry Pump,Electrical Fault,23.5,3.2,2023
TITAN-01,Shaft / Hoistway,Drill Jumbo,Power Transmission Failure,57.9,17.6,2023
TITAN-01,Shaft / Hoistway,Mine Fan,Bearing Seizure,91.9,16.3,2023
TITAN-01,Stope Production Face,Continuous Haulage,Electrical Fault,5.1,118.3,2024
TITAN-01,Pump Station,Haulage LHD,Power Transmission Failure,14.6,97.1,2025
TITAN-01,Pump Station,Drill Jumbo,Hydraulic Burst,9.7,22.2,2025
TITAN-01,Pump Station,Haulage LHD,Electrical Fault,37.9,3.5,2023
ANDINA-02,Drift / Ramp,Slurry Pump,Bearing Seizure,28.5,107.8,2023
SUR-03,Pump Station,Continuous Haulage,Electrical Fault,7.1,105.2,2024
TITAN-01,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,19.9,92.6,2023
ANDINA-02,Drift / Ramp,Mine Fan,Bearing Seizure,31.8,89.5,2025
ANDINA-02,Underground Haulageway,Continuous Haulage,Electrical Fault,40.2,31.4,2023
SUR-03,Pump Station,Mine Fan,Hydraulic Burst,4.5,9.4,2025
TITAN-01,Pump Station,Haulage LHD,Bearing Seizure,57.1,31.2,2023
SUR-03,Underground Haulageway,Continuous Haulage,Hydraulic Burst,24.2,32.8,2023
TITAN-01,Pump Station,Mine Fan,Power Transmission Failure,44.1,32.3,2025
ANDINA-02,Underground Haulageway,Slurry Pump,Electrical Fault,43.6,37.1,2024
ANDINA-02,Drift / Ramp,Slurry Pump,Hydraulic Burst,9.1,14.3,2024
ANDINA-02,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,6.8,21.9,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Electrical Fault,34.7,27.3,2023
SUR-03,Stope Production Face,Drill Jumbo,Power Transmission Failure,8.1,6.7,2025
TITAN-01,Underground Haulageway,Continuous Haulage,Hydraulic Burst,49.5,29.2,2025
TITAN-01,Pump Station,Slurry Pump,Power Transmission Failure,35.1,79.8,2023
SUR-03,Drift / Ramp,Mine Fan,Bearing Seizure,48.3,84.5,2025
TITAN-01,Drift / Ramp,Drill Jumbo,Electrical Fault,12.5,25.5,2024
ANDINA-02,Underground Haulageway,Haulage LHD,Power Transmission Failure,13.1,35.1,2024
TITAN-01,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,30.7,1.6,2025
ANDINA-02,Stope Production Face,Haulage LHD,Electrical Fault,4.8,53.9,2025
SUR-03,Drift / Ramp,Drill Jumbo,Bearing Seizure,35.1,24.9,2025
TITAN-01,Pump Station,Haulage LHD,Electrical Fault,47.4,28.3,2024
SUR-03,Pump Station,Haulage LHD,Bearing Seizure,16.9,99.3,2023
TITAN-01,Shaft / Hoistway,Drill Jumbo,Electrical Fault,38.7,29.7,2025
ANDINA-02,Drift / Ramp,Drill Jumbo,Power Transmission Failure,8.6,1.0,2025
SUR-03,Underground Haulageway,Haulage LHD,Power Transmission Failure,13.3,12.4,2025
TITAN-01,Pump Station,Slurry Pump,Hydraulic Burst,91.9,31.0,2023
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Bearing Seizure,107.0,26.5,2025
SUR-03,Drift / Ramp,Continuous Haulage,Hydraulic Burst,21.2,94.5,2025
SUR-03,Drift / Ramp,Mine Fan,Power Transmission Failure,69.3,37.5,2024
TITAN-01,Drift / Ramp,Haulage LHD,Bearing Seizure,21.8,56.2,2025
TITAN-01,Drift / Ramp,Haulage LHD,Hydraulic Burst,12.3,30.4,2024
TITAN-01,Drift / Ramp,Mine Fan,Hydraulic Burst,11.5,27.8,2023
ANDINA-02,Pump Station,Slurry Pump,Hydraulic Burst,67.7,28.4,2025
TITAN-01,Shaft / Hoistway,Mine Fan,Hydraulic Burst,8.5,25.4,2025
SUR-03,Drift / Ramp,Drill Jumbo,Hydraulic Burst,24.8,37.1,2024
SUR-03,Stope Production Face,Mine Fan,Bearing Seizure,23.5,13.8,2023
TITAN-01,Stope Production Face,Haulage LHD,Hydraulic Burst,36.3,106.4,2023
TITAN-01,Shaft / Hoistway,Mine Fan,Bearing Seizure,20.6,19.4,2024
SUR-03,Underground Haulageway,Continuous Haulage,Hydraulic Burst,11.6,7.7,2023
ANDINA-02,Underground Haulageway,Drill Jumbo,Power Transmission Failure,8.5,4.9,2023
TITAN-01,Underground Haulageway,Mine Fan,Power Transmission Failure,27.3,0.6,2023
TITAN-01,Stope Production Face,Haulage LHD,Hydraulic Burst,34.5,26.4,2023
SUR-03,Underground Haulageway,Drill Jumbo,Electrical Fault,24.2,10.0,2023
TITAN-01,Pump Station,Haulage LHD,Power Transmission Failure,36.2,1.1,2023
ANDINA-02,Drift / Ramp,Slurry Pump,Bearing Seizure,7.7,35.2,2023
SUR-03,Stope Production Face,Continuous Haulage,Hydraulic Burst,55.4,54.7,2023
TITAN-01,Shaft / Hoistway,Slurry Pump,Bearing Seizure,25.0,4.3,2025
SUR-03,Shaft / Hoistway,Continuous Haulage,Electrical Fault,7.3,29.7,2024
TITAN-01,Drift / Ramp,Mine Fan,Hydraulic Burst,18.9,65.3,2023
TITAN-01,Stope Production Face,Drill Jumbo,Power Transmission Failure,48.7,204.2,2024
TITAN-01,Underground Haulageway,Mine Fan,Bearing Seizure,58.7,52.8,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Power Transmission Failure,11.4,13.5,2023
ANDINA-02,Pump Station,Continuous Haulage,Power Transmission Failure,33.8,60.5,2025
SUR-03,Pump Station,Continuous Haulage,Hydraulic Burst,6.5,43.7,2024
TITAN-01,Underground Haulageway,Haulage LHD,Bearing Seizure,4.8,11.4,2024
TITAN-01,Shaft / Hoistway,Drill Jumbo,Electrical Fault,23.7,91.4,2025
ANDINA-02,Shaft / Hoistway,Mine Fan,Power Transmission Failure,32.5,26.8,2025
TITAN-01,Pump Station,Mine Fan,Hydraulic Burst,42.1,156.9,2024
ANDINA-02,Drift / Ramp,Slurry Pump,Hydraulic Burst,14.0,61.6,2023
TITAN-01,Underground Haulageway,Continuous Haulage,Electrical Fault,4.2,49.7,2023
SUR-03,Pump Station,Continuous Haulage,Hydraulic Burst,19.7,62.6,2024
TITAN-01,Pump Station,Continuous Haulage,Power Transmission Failure,4.4,31.2,2023
TITAN-01,Underground Haulageway,Mine Fan,Hydraulic Burst,6.3,33.8,2025
ANDINA-02,Underground Haulageway,Slurry Pump,Bearing Seizure,13.5,91.4,2025
TITAN-01,Shaft / Hoistway,Haulage LHD,Bearing Seizure,17.8,54.8,2025
TITAN-01,Drift / Ramp,Drill Jumbo,Power Transmission Failure,11.9,109.2,2024
ANDINA-02,Drift / Ramp,Haulage LHD,Bearing Seizure,24.9,106.3,2024
SUR-03,Underground Haulageway,Mine Fan,Electrical Fault,5.4,180.0,2024
SUR-03,Stope Production Face,Continuous Haulage,Hydraulic Burst,7.7,57.8,2023
ANDINA-02,Pump Station,Drill Jumbo,Power Transmission Failure,32.5,33.5,2024
ANDINA-02,Pump Station,Mine Fan,Electrical Fault,7.7,8.7,2024
ANDINA-02,Underground Haulageway,Mine Fan,Hydraulic Burst,28.5,58.7,2025
ANDINA-02,Stope Production Face,Mine Fan,Electrical Fault,5.3,16.5,2023
ANDINA-02,Shaft / Hoistway,Drill Jumbo,Power Transmission Failure,16.6,16.0,2023
SUR-03,Underground Haulageway,Drill Jumbo,Power Transmission Failure,8.7,13.1,2025
SUR-03,Underground Haulageway,Slurry Pump,Electrical Fault,6.8,99.9,2023
ANDINA-02,Pump Station,Slurry Pump,Hydraulic Burst,24.1,97.2,2024
TITAN-01,Underground Haulageway,Haulage LHD,Bearing Seizure,67.3,47.9,2023
ANDINA-02,Underground Haulageway,Drill Jumbo,Bearing Seizure,5.4,30.7,2025
TITAN-01,Underground Haulageway,Drill Jumbo,Electrical Fault,17.1,53.5,2023
ANDINA-02,Pump Station,Drill Jumbo,Power Transmission Failure,33.5,44.9,2025
ANDINA-02,Shaft / Hoistway,Slurry Pump,Hydraulic Burst,18.9,25.8,2024
SUR-03,Shaft / Hoistway,Mine Fan,Hydraulic Burst,43.4,22.9,2024
TITAN-01,Underground Haulageway,Continuous Haulage,Power Transmission Failure,8.8,23.2,2025
TITAN-01,Pump Station,Slurry Pump,Bearing Seizure,81.0,42.7,2024
SUR-03,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,15.7,50.1,2024
SUR-03,Shaft / Hoistway,Slurry Pump,Electrical Fault,14.0,28.8,2023
SUR-03,Shaft / Hoistway,Haulage LHD,Bearing Seizure,53.8,166.3,2024
SUR-03,Pump Station,Drill Jumbo,Electrical Fault,23.9,4.2,2025
TITAN-01,Pump Station,Haulage LHD,Bearing Seizure,21.4,20.5,2024
TITAN-01,Underground Haulageway,Drill Jumbo,Power Transmission Failure,35.2,26.1,2023
ANDINA-02,Drift / Ramp,Slurry Pump,Electrical Fault,24.8,0.8,2025
ANDINA-02,Shaft / Hoistway,Mine Fan,Electrical Fault,8.3,21.8,2024
SUR-03,Drift / Ramp,Continuous Haulage,Power Transmission Failure,30.9,15.4,2024
SUR-03,Pump Station,Haulage LHD,Electrical Fault,7.4,33.9,2024
SUR-03,Pump Station,Slurry Pump,Bearing Seizure,43.3,19.7,2025
ANDINA-02,Pump Station,Mine Fan,Hydraulic Burst,113.9,62.2,2023
ANDINA-02,Drift / Ramp,Slurry Pump,Hydraulic Burst,15.4,34.2,2025
ANDINA-02,Pump Station,Haulage LHD,Power Transmission Failure,18.1,6.7,2025
ANDINA-02,Underground Haulageway,Continuous Haulage,Bearing Seizure,5.1,66.6,2023
ANDINA-02,Pump Station,Slurry Pump,Electrical Fault,4.3,5.0,2025
ANDINA-02,Stope Production Face,Drill Jumbo,Electrical Fault,65.0,87.7,2025
ANDINA-02,Drift / Ramp,Mine Fan,Hydraulic Burst,7.3,128.6,2024
SUR-03,Stope Production Face,Slurry Pump,Electrical Fault,18.2,18.7,2025
SUR-03,Pump Station,Mine Fan,Hydraulic Burst,44.5,125.1,2024
SUR-03,Underground Haulageway,Drill Jumbo,Power Transmission Failure,56.8,75.6,2025
SUR-03,Shaft / Hoistway,Continuous Haulage,Electrical Fault,21.6,122.7,2024
ANDINA-02,Pump Station,Continuous Haulage,Bearing Seizure,24.0,52.7,2024
TITAN-01,Underground Haulageway,Drill Jumbo,Electrical Fault,30.6,12.9,2024
ANDINA-02,Drift / Ramp,Mine Fan,Hydraulic Burst,82.1,108.0,2023
TITAN-01,Stope Production Face,Slurry Pump,Power Transmission Failure,26.2,9.8,2025
SUR-03,Stope Production Face,Drill Jumbo,Hydraulic Burst,23.7,11.5,2025
ANDINA-02,Stope Production Face,Haulage LHD,Electrical Fault,4.4,15.2,2025
SUR-03,Drift / Ramp,Mine Fan,Hydraulic Burst,6.0,17.4,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Hydraulic Burst,24.7,34.7,2024
SUR-03,Drift / Ramp,Drill Jumbo,Power Transmission Failure,70.1,60.0,2025
TITAN-01,Stope Production Face,Continuous Haulage,Bearing Seizure,52.4,125.1,2023
TITAN-01,Pump Station,Mine Fan,Electrical Fault,101.2,4.4,2023
TITAN-01,Shaft / Hoistway,Continuous Haulage,Power Transmission Failure,22.0,148.2,2025
ANDINA-02,Drift / Ramp,Drill Jumbo,Bearing Seizure,41.2,122.0,2024
TITAN-01,Drift / Ramp,Mine Fan,Hydraulic Burst,48.0,2.7,2023
ANDINA-02,Underground Haulageway,Haulage LHD,Bearing Seizure,29.1,21.4,2025
TITAN-01,Underground Haulageway,Drill Jumbo,Hydraulic Burst,13.9,80.5,2024
TITAN-01,Drift / Ramp,Slurry Pump,Hydraulic Burst,19.2,45.4,2023
ANDINA-02,Stope Production Face,Drill Jumbo,Power Transmission Failure,50.8,72.5,2023
ANDINA-02,Shaft / Hoistway,Mine Fan,Hydraulic Burst,12.5,60.9,2025
TITAN-01,Underground Haulageway,Drill Jumbo,Power Transmission Failure,65.8,33.0,2025
ANDINA-02,Stope Production Face,Haulage LHD,Bearing Seizure,10.3,2.0,2024
TITAN-01,Pump Station,Haulage LHD,Bearing Seizure,37.2,42.1,2025
ANDINA-02,Underground Haulageway,Slurry Pump,Hydraulic Burst,27.9,2.4,2025
SUR-03,Stope Production Face,Continuous Haulage,Power Transmission Failure,37.2,44.4,2024
SUR-03,Stope Production Face,Mine Fan,Hydraulic Burst,17.8,77.4,2025
SUR-03,Shaft / Hoistway,Mine Fan,Power Transmission Failure,68.7,42.2,2024
SUR-03,Shaft / Hoistway,Continuous Haulage,Power Transmission Failure,28.0,279.2,2024
SUR-03,Pump Station,Haulage LHD,Power Transmission Failure,12.2,29.2,2024
TITAN-01,Stope Production Face,Haulage LHD,Bearing Seizure,28.4,66.3,2025
SUR-03,Stope Production Face,Drill Jumbo,Power Transmission Failure,12.1,52.8,2024
SUR-03,Shaft / Hoistway,Slurry Pump,Bearing Seizure,12.3,228.5,2025
SUR-03,Underground Haulageway,Slurry Pump,Power Transmission Failure,16.2,60.0,2024
SUR-03,Underground Haulageway,Slurry Pump,Bearing Seizure,49.9,8.6,2025
ANDINA-02,Drift / Ramp,Drill Jumbo,Electrical Fault,20.6,149.4,2024
TITAN-01,Shaft / Hoistway,Slurry Pump,Bearing Seizure,31.3,52.9,2023
SUR-03,Drift / Ramp,Continuous Haulage,Bearing Seizure,15.9,2.9,2023
SUR-03,Shaft / Hoistway,Drill Jumbo,Hydraulic Burst,11.3,51.4,2023
SUR-03,Pump Station,Continuous Haulage,Power Transmission Failure,78.2,103.0,2024
TITAN-01,Stope Production Face,Drill Jumbo,Electrical Fault,26.2,41.3,2025
ANDINA-02,Pump Station,Slurry Pump,Hydraulic Burst,69.2,21.0,2024
TITAN-01,Shaft / Hoistway,Continuous Haulage,Power Transmission Failure,9.5,82.6,2024
ANDINA-02,Stope Production Face,Continuous Haulage,Electrical Fault,7.8,73.2,2024
SUR-03,Underground Haulageway,Continuous Haulage,Electrical Fault,50.5,37.7,2024
SUR-03,Underground Haulageway,Drill Jumbo,Electrical Fault,31.4,8.0,2025
TITAN-01,Drift / Ramp,Mine Fan,Power Transmission Failure,9.0,13.9,2024
TITAN-01,Shaft / Hoistway,Slurry Pump,Electrical Fault,11.5,64.4,2023
ANDINA-02,Shaft / Hoistway,Continuous Haulage,Electrical Fault,42.7,78.7,2023
ANDINA-02,Underground Haulageway,Mine Fan,Hydraulic Burst,18.5,15.7,2023
TITAN-01,Pump Station,Slurry Pump,Bearing Seizure,30.6,22.0,2024
ANDINA-02,Stope Production Face,Slurry Pump,Power Transmission Failure,13.2,3.9,2025
TITAN-01,Pump Station,Continuous Haulage,Bearing Seizure,15.5,60.0,2025
ANDINA-02,Pump Station,Continuous Haulage,Hydraulic Burst,116.3,0.2,2025
TITAN-01,Underground Haulageway,Drill Jumbo,Bearing Seizure,10.8,2.3,2024
TITAN-01,Underground Haulageway,Mine Fan,Electrical Fault,20.9,0.2,2025
TITAN-01,Underground Haulageway,Mine Fan,Electrical Fault,48.7,49.8,2023
ANDINA-02,Drift / Ramp,Continuous Haulage,Power Transmission Failure,10.6,25.9,2025
ANDINA-02,Pump Station,Slurry Pump,Power Transmission Failure,16.9,17.0,2024
ANDINA-02,Shaft / Hoistway,Continuous Haulage,Power Transmission Failure,26.9,117.0,2024
TITAN-01,Stope Production Face,Slurry Pump,Hydraulic Burst,19.7,10.3,2025
ANDINA-02,Drift / Ramp,Slurry Pump,Power Transmission Failure,18.8,23.7,2024
ANDINA-02,Shaft / Hoistway,Continuous Haulage,Hydraulic Burst,14.8,135.3,2025
TITAN-01,Pump Station,Haulage LHD,Electrical Fault,25.2,26.7,2025
SUR-03,Underground Haulageway,Mine Fan,Bearing Seizure,27.5,38.8,2023
TITAN-01,Pump Station,Slurry Pump,Electrical Fault,29.4,4.0,2024
ANDINA-02,Stope Production Face,Slurry Pump,Electrical Fault,5.8,74.9,2023
TITAN-01,Drift / Ramp,Haulage LHD,Electrical Fault,27.9,26.4,2024
SUR-03,Drift / Ramp,Drill Jumbo,Power Transmission Failure,77.5,77.4,2025
TITAN-01,Stope Production Face,Haulage LHD,Power Transmission Failure,22.7,14.1,2024
ANDINA-02,Shaft / Hoistway,Haulage LHD,Power Transmission Failure,34.1,26.4,2025
SUR-03,Shaft / Hoistway,Slurry Pump,Bearing Seizure,23.5,74.1,2024
ANDINA-02,Drift / Ramp,Mine Fan,Power Transmission Failure,50.3,175.0,2023
SUR-03,Drift / Ramp,Haulage LHD,Hydraulic Burst,67.7,3.0,2023
SUR-03,Underground Haulageway,Drill Jumbo,Electrical Fault,8.9,80.3,2025
TITAN-01,Shaft / Hoistway,Continuous Haulage,Bearing Seizure,17.8,17.2,2023
TITAN-01,Stope Production Face,Haulage LHD,Bearing Seizure,16.0,38.4,2025
ANDINA-02,Shaft / Hoistway,Haulage LHD,Bearing Seizure,16.5,16.4,2025
TITAN-01,Underground Haulageway,Drill Jumbo,Bearing Seizure,7.2,45.6,2025
TITAN-01,Drift / Ramp,Mine Fan,Bearing Seizure,44.3,21.0,2024
SUR-03,Drift / Ramp,Haulage LHD,Hydraulic Burst,4.9,19.5,2025
TITAN-01,Underground Haulageway,Haulage LHD,Electrical Fault,22.0,1.9,2023
SUR-03,Stope Production Face,Mine Fan,Bearing Seizure,30.0,7.6,2024
SUR-03,Drift / Ramp,Drill Jumbo,Electrical Fault,9.6,119.5,2023
SUR-03,Pump Station,Haulage LHD,Power Transmission Failure,60.7,305.5,2025
ANDINA-02,Drift / Ramp,Mine Fan,Bearing Seizure,47.8,72.8,2025
ANDINA-02,Pump Station,Haulage LHD,Bearing Seizure,19.3,16.2,2023
ANDINA-02,Underground Haulageway,Continuous Haulage,Electrical Fault,16.7,24.7,2024
SUR-03,Underground Haulageway,Slurry Pump,Bearing Seizure,10.5,64.6,2023
ANDINA-02,Drift / Ramp,Continuous Haulage,Bearing Seizure,35.4,166.0,2025
ANDINA-02,Shaft / Hoistway,Haulage LHD,Bearing Seizure,7.4,29.2,2024
TITAN-01,Pump Station,Drill Jumbo,Hydraulic Burst,31.4,84.9,2025
ANDINA-02,Stope Production Face,Slurry Pump,Hydraulic Burst,48.4,177.2,2025
ANDINA-02,Drift / Ramp,Continuous Haulage,Bearing Seizure,10.2,99.2,2023
SUR-03,Stope Production Face,Mine Fan,Hydraulic Burst,52.3,12.4,2025
SUR-03,Drift / Ramp,Drill Jumbo,Power Transmission Failure,4.8,0.4,2023
SUR-03,Shaft / Hoistway,Continuous Haulage,Bearing Seizure,62.5,32.5,2024
SUR-03,Shaft / Hoistway,Mine Fan,Power Transmission Failure,7.0,36.4,2025
